cust_id,income,age,years_with_bank,nbr_children,gender,marital_status,postal_code,state_code
20443995,29734.5,60,7,3,M,2,97237,OR
13628990,43715.0,34,4,3,F,2,60634,IL
25898368,1424.0,93,10,0,M,2,79931,TX
25900040,3524.1,43,10,0,F,1,90024,CA
17724954,28632.5,40,6,3,F,2,97203,OR
21801424,79752.4,64,7,1,F,2,98137,WA
21813088,20152.6,41,4,3,F,4,78429,TX
16354656,11815.9,47,7,8,M,3,97248,OR
19084198,101071.6,33,3,1,M,1,75310,TX
24539652,20475.0,28,5,3,M,2,77159,TX
29978344,45639.0,51,6,2,M,2,78473,TX
28612227,1387.0,72,2,1,M,2,90159,CA
16359468,4053.0,60,10,4,M,2,93769,CA
24526764,88986.6,49,7,4,F,2,28224,NC
28619262,2887.5,20,2,1,M,1,60625,IL
21813984,15943.2,21,3,1,M,1,44126,OH
25888374,1904.8,40,7,0,F,2,10126,NY
24531984,101278.8,46,4,7,M,3,97248,OR
13631720,93060.0,51,1,1,M,2,53269,WI
25896734,7913.5,35,2,3,M,3,02172,MA
17712981,0.0,9,8,2,F,1,10181,NY
21803664,0.0,13,8,1,M,1,10104,NY
16354368,3698.5,33,3,6,F,4,10178,NY
23164540,21296.4,36,2,0,M,2,77210,TX
24539364,101332.8,40,8,4,M,2,60606,IL
13628170,8259.0,30,9,3,M,4,80982,CO
13626090,1929.0,80,9,1,F,2,96846,HI
29992248,80550.8,43,10,1,M,4,33133,FL
13630820,36464.0,33,3,1,M,1,76017,TX
17720157,39650.0,53,10,4,F,2,78738,TX
23176814,23217.0,58,4,1,F,4,77061,TX
13628780,9848.0,43,3,3,F,2,97254,OR
20446395,1558.5,84,11,2,M,2,55174,MN
25890654,0.0,20,9,0,F,1,90750,CA
27266620,62108.0,55,7,2,M,2,55113,MN
16353672,8270.2,27,6,4,M,3,60605,IL
20452410,40272.0,72,3,2,F,2,77292,TX
16359300,3732.3,40,10,6,F,2,64105,MO
23174162,0.0,20,1,0,M,1,43630,OH
27266660,33730.0,19,6,0,F,1,55113,MN
20440725,26625.0,61,8,3,F,2,10079,NY
23164761,7680.8,33,5,2,F,2,10138,NY
31338949,33835.3,73,3,0,M,2,60647,IL
21811776,60335.6,64,7,1,M,3,90130,CA
27252140,48900.0,44,6,1,M,2,98133,WA
19082560,54324.2,42,2,3,M,2,10148,NY
20445720,65112.0,45,2,6,F,2,73179,OK
23179279,0.0,18,6,0,M,1,96802,HI
27256340,16518.0,29,10,2,M,4,80982,CO
25889020,5579.0,41,8,3,F,4,94293,CA
27263640,202354.0,50,2,0,F,2,90128,CA
16359012,3905.4,22,7,3,M,1,90174,CA
25902947,3731.4,30,6,1,F,2,77159,TX
25904619,1899.8,49,6,0,M,2,10208,NY
28626045,1341.9,42,2,1,M,2,07171,NJ
29984372,14253.8,70,10,0,F,2,45246,OH
19078276,46214.0,56,6,1,F,2,63169,MO
14989326,0.0,17,9,2,F,1,90750,CA
19081090,0.0,16,1,1,M,1,97237,OR
23174791,17301.3,38,4,3,F,2,07139,NJ
14989183,34805.1,49,9,4,F,2,78473,TX
27268900,11836.0,29,10,1,M,2,94260,CA
16350120,2268.0,92,12,3,F,2,46260,IN
16361784,1917.1,69,9,3,M,2,80274,CO
14990426,112514.6,58,8,4,F,3,60606,IL
23170915,32088.4,64,10,2,M,2,19136,PA
14989854,15903.8,51,11,2,F,2,46256,IN
29981270,95880.4,47,7,5,F,2,64132,MO
16357092,0.0,18,3,3,M,1,78738,TX
16356684,1363.5,77,7,3,F,2,14667,NY
25891300,1177.0,80,7,0,F,4,92517,CA
31356889,0.0,15,0,0,M,1,77061,TX
16350240,12259.2,52,5,7,F,4,90061,CA
29977354,53790.0,49,9,1,M,2,98133,WA
29991302,66477.4,51,11,0,F,1,78210,TX
25903555,10395.5,60,7,1,F,2,85734,AZ
13632280,36237.0,42,2,1,M,1,02189,MA
21801248,0.0,17,5,1,F,1,19152,PA
14995970,0.0,18,3,2,M,1,77105,TX
27268040,48736.0,63,5,0,F,1,10007,NY
19088468,13293.0,26,5,3,F,3,21227,MD
23165407,16175.9,30,5,0,F,1,70156,LA
14994012,7489.9,62,2,2,F,1,85205,AZ
17715438,18383.3,14,6,2,M,1,63152,MO
27252460,31108.0,73,5,0,M,2,77099,TX
24537600,37827.0,20,3,2,M,1,94225,CA
16358028,2753.7,22,7,3,F,1,60607,IL
13631830,46870.0,60,10,1,M,2,90128,CA
28617414,6932.1,56,6,1,F,2,63169,MO
20444265,36135.0,72,9,2,M,2,40564,KY
14993154,16938.9,62,2,2,M,2,10101,NY
27262940,41740.0,48,10,5,F,2,94150,CA
20447670,46830.0,39,6,2,M,1,28230,NC
24531318,92894.4,41,4,2,M,1,77036,TX
25905265,2338.3,34,10,1,M,2,38140,TN
14991053,47719.1,50,10,2,M,1,15273,PA
23176457,23510.2,60,6,0,M,2,46240,IN
17716231,0.0,10,9,2,M,1,64132,MO
24526260,37011.6,52,0,4,F,2,87194,NM
28625793,2692.8,67,7,1,F,1,74168,OK
29994316,69810.4,40,10,3,M,2,92173,CA
29992358,42460.0,62,12,1,M,2,93769,CA
17721756,11765.0,61,8,2,F,2,44127,OH
28613088,1389.8,40,10,1,F,1,40205,KY
28617309,0.0,14,6,1,M,1,10104,NY
31347850,27450.5,60,0,0,F,2,40564,KY
13627340,33010.0,56,6,1,F,2,63169,MO
16353252,5112.2,35,5,5,F,2,60601,IL
14996454,12512.5,28,7,3,M,2,77159,TX
21801120,53461.2,50,3,3,F,2,87194,NM
24527970,0.0,16,6,2,F,1,90750,CA
31353232,45632.0,50,0,2,F,4,43630,OH
31339202,61554.9,31,1,2,F,2,10161,NY
28625688,879.3,20,5,1,F,1,23541,VA
23175454,35238.0,59,5,1,F,2,07303,NJ
31348908,53707.3,51,1,2,F,2,19136,PA
25888070,7457.5,62,9,0,F,1,10259,NY
28618611,1661.9,82,2,1,F,2,10088,NY
16353780,0.0,20,5,3,M,1,60654,IL
27252820,6838.0,28,9,0,F,1,45471,OH
28632681,4852.7,70,10,1,F,2,55177,MN
25894207,5036.0,55,2,1,F,2,07117,NJ
28617162,9281.2,31,1,2,F,2,10259,NY
31357165,30100.1,22,1,0,M,2,64199,MO
13625460,10025.0,36,6,1,F,2,10126,NY
16355736,6942.6,44,4,3,M,1,90015,CA
27265380,88614.0,53,5,1,M,2,77105,TX
14987335,24959.0,27,6,2,F,1,10140,NY
31348885,103948.5,59,9,2,M,2,19136,PA
31337730,24840.0,89,9,0,F,2,46260,IN
28615692,4356.4,47,2,3,M,2,78473,TX
13633860,12033.0,86,6,1,M,2,74146,OK
14995266,46234.1,34,4,2,F,1,93728,CA
19085276,17082.8,80,10,1,M,2,38177,TN
17713592,16750.5,57,4,2,F,2,60666,IL
20438505,45996.0,61,8,3,F,2,90112,CA
16350024,3261.3,60,10,5,M,2,90785,CA
21800992,165183.2,46,9,1,F,1,90148,CA
16356060,1290.2,25,4,3,F,2,75328,TX
23171595,5866.0,65,1,0,M,2,53217,WI
16361688,701.2,23,8,3,F,1,94239,CA
17719117,124260.5,49,6,3,M,2,80243,CO
14992450,13128.5,62,2,2,F,2,40564,KY
25904847,1737.7,85,2,0,M,4,32284,FL
19080502,0.0,16,8,1,M,1,97248,OR
19080950,21107.8,75,5,1,F,2,21214,MD
20442825,3433.5,39,6,2,F,2,78404,TX
21810736,95869.8,59,12,1,F,2,53269,WI
21811184,0.0,16,4,1,M,1,94225,CA
28612689,649.5,83,3,1,M,2,46260,IN
29980478,38306.4,38,7,2,F,3,37204,TN
31351346,41820.9,33,3,3,F,2,90145,CA
17717115,2975.7,30,7,2,F,2,78404,TX
23176117,28393.6,45,1,0,F,1,85707,AZ
29976562,13437.6,24,9,0,M,1,87194,NM
23167124,8843.8,36,2,2,M,2,60601,IL
21803760,44163.6,40,3,1,F,1,07149,NJ
19083190,35953.4,57,7,3,M,2,74186,OK
31349897,0.0,15,7,0,F,1,73130,OK
25898786,2136.4,77,4,0,F,2,55174,MN
16357848,614.2,32,11,5,F,4,94272,CA
21807184,0.0,16,4,1,M,1,92178,CA
13632710,7467.0,42,2,1,F,1,76183,TX
28625268,5840.9,25,4,3,F,2,78734,TX
21809712,52478.4,41,4,1,F,1,32232,FL
28623840,8148.6,42,2,3,M,2,10148,NY
28629468,5702.6,23,2,2,M,2,10260,NY
23177358,4353.7,26,1,0,M,1,44126,OH
23168365,52387.4,48,3,3,M,4,95184,CA
16353564,3761.5,35,5,6,F,2,98165,WA
24532524,30913.2,83,1,2,M,2,94162,CA
14993605,37920.3,54,4,3,M,2,53277,WI
25889362,9393.0,52,9,2,F,2,28224,NC
16357560,3410.0,36,6,5,M,4,40213,KY
29991852,45955.8,28,7,0,F,3,92173,CA
20443980,27580.5,23,5,2,M,1,90003,CA
16360128,2756.0,69,9,3,F,2,85047,AZ
13627160,36761.0,56,6,2,M,2,10079,NY
28615293,2271.8,29,5,3,F,2,10138,NY
16359108,1540.4,31,10,4,M,2,90166,CA
29989036,28901.4,77,7,0,F,2,78754,TX
20437515,98020.5,63,10,4,F,2,90785,CA
13625120,15432.0,63,3,1,F,1,90159,CA
17713254,0.0,11,10,2,M,1,94654,CA
27264020,16076.0,80,2,0,F,2,90046,CA
29988464,29249.0,43,13,3,F,2,90048,CA
27261940,43326.0,54,6,1,F,2,96849,HI
28626507,8337.6,39,9,1,F,1,07160,NJ
24531786,17064.0,44,2,4,M,2,97254,OR
25903327,3204.4,24,6,0,F,1,55113,MN
25899432,795.5,24,6,0,F,1,23541,VA
29977574,30318.2,55,5,0,F,2,85206,AZ
24527340,28555.2,68,6,2,F,1,90009,CA
14992989,32343.3,38,8,4,M,4,90176,CA
16353396,3395.3,52,12,3,M,1,79917,TX
16359432,1768.8,41,7,3,F,2,45219,OH
20446485,0.0,20,2,2,F,1,96849,HI
23171663,0.0,20,8,0,F,1,73130,OK
13634090,9379.0,70,10,1,F,2,10276,NY
25891661,4530.2,64,11,1,F,2,60665,IL
16350132,528.6,86,6,3,M,1,10170,NY
17717778,47677.5,32,9,4,M,2,93702,CA
21806320,68606.2,56,9,2,M,2,10126,NY
19078654,18921.0,24,3,2,M,4,53263,WI
17717635,34303.1,52,9,3,M,2,10126,NY
16359552,1533.4,22,7,3,F,1,67225,KS
21808032,106067.0,66,9,1,F,2,10146,NY
29993436,0.0,18,10,0,F,1,90106,CA
23166359,57871.4,46,2,1,F,2,10104,NY
25893352,5963.5,47,4,0,F,1,90138,CA
27262140,40368.0,41,3,0,F,1,32232,FL
27261120,4884.0,19,3,0,F,1,53277,WI
14987500,62378.8,42,2,2,M,1,75370,TX
28619304,14580.7,59,9,3,F,2,94174,CA
25890027,2055.4,33,6,2,F,2,10138,NY
31346562,136946.6,57,7,0,M,1,10185,NY
25898938,3454.8,38,5,3,F,2,90145,CA
29994250,24208.8,77,7,0,F,2,53244,WI
14992230,0.0,19,4,2,M,1,78707,TX
17718142,14396.2,48,5,3,F,2,97237,OR
16353840,27131.2,58,8,5,M,3,60625,IL
13625970,12106.0,20,5,1,M,1,77083,TX
14993759,12760.0,20,5,2,M,1,60606,IL
17722159,21552.7,31,8,4,M,2,37232,TN
29990334,41993.6,57,7,2,F,2,94225,CA
27258100,23226.0,39,7,2,F,2,93702,CA
21813616,0.0,15,10,1,F,1,02149,MA
27268540,166732.0,46,8,0,F,1,10236,NY
23174961,26581.0,67,3,0,M,2,10079,NY
24526314,73436.4,38,6,4,M,2,10161,NY
14987599,3402.3,84,4,2,M,2,46260,IN
23165560,5880.2,78,4,0,F,2,92149,CA
29978872,15906.0,67,7,0,M,2,55402,MN
13627640,25973.0,58,8,2,M,2,94103,CA
21809088,149791.2,58,11,3,M,2,60606,IL
31339340,67534.9,36,6,3,F,4,94293,CA
17722952,19214.0,84,11,2,F,4,90180,CA
19077996,20241.2,50,10,1,F,2,46256,IN
23172309,0.0,20,4,0,F,1,10171,NY
29992534,20572.2,51,11,0,F,1,85701,AZ
20447640,4158.0,27,3,3,F,4,07301,NJ
28616343,9300.5,35,5,2,F,2,90065,CA
20442195,23526.0,58,5,4,F,2,60654,IL
13633430,0.0,16,1,1,M,1,77061,TX
21803744,85826.0,55,8,1,F,2,63169,MO
21811248,214791.2,56,9,2,M,2,60622,IL
16355916,4347.4,33,3,4,F,3,48206,MI
23168637,0.0,18,6,0,F,1,90105,CA
14989799,6579.1,76,6,2,F,2,90190,CA
21812512,67155.4,29,11,1,F,1,20129,DC
24531858,22842.0,57,5,2,M,2,85048,AZ
24537690,0.0,19,2,2,F,1,60622,IL
19079340,0.0,18,3,1,F,1,46232,IN
24524802,100598.4,37,5,4,F,3,37208,TN
24533856,44161.2,42,0,2,F,1,85036,AZ
28627557,3302.0,42,2,1,F,1,92176,CA
29992776,59741.0,27,6,1,M,2,10260,NY
17721236,120978.0,46,3,2,M,2,53269,WI
24530796,24750.0,21,1,2,M,1,60625,IL
27254220,25988.0,26,7,1,F,4,90009,CA
24535404,17319.6,48,6,3,M,2,96822,HI
25889571,366.5,84,10,0,F,2,96846,HI
31347574,0.0,16,1,0,M,1,77095,TX
14993528,47748.8,42,2,6,F,2,73179,OK
14996872,6349.2,20,5,2,M,1,77086,TX
31337500,130428.4,40,0,0,M,1,75370,TX
27253240,9208.0,65,7,0,F,2,10014,NY
24538788,37600.2,25,2,2,F,3,92173,CA
21813936,9232.6,27,7,3,F,2,93776,CA
31360155,45684.9,48,8,0,F,1,98111,WA
13632080,2701.0,71,1,1,F,2,60624,IL
25893485,0.0,22,4,0,M,1,60654,IL
23166206,36195.8,56,2,1,M,2,60665,IL
31343963,71329.9,31,1,0,M,1,28208,NC
20449470,84444.0,43,10,4,M,2,60606,IL
29992732,34267.2,51,11,0,F,1,94299,CA
25895727,3766.4,60,7,1,M,2,97237,OR
24527448,18450.0,71,9,2,M,1,20175,DC
21814464,0.0,17,5,1,M,1,43688,OH
28630203,0.0,16,1,1,M,1,77061,TX
16352892,1582.1,64,4,3,F,2,19160,PA
31352220,47573.2,44,4,0,M,1,90162,CA
17714502,0.0,9,8,2,F,1,78473,TX
14995013,51557.0,61,11,2,M,2,90128,CA
14989711,42808.7,53,3,2,F,2,90091,CA
17718233,23890.1,32,9,4,F,2,77089,TX
29996604,20083.8,71,11,0,M,2,80274,CO
27261760,57950.0,54,6,2,M,2,78738,TX
25901883,6062.9,49,6,0,M,1,10118,NY
29992688,32516.0,93,13,0,F,4,90180,CA
25904676,0.0,22,4,0,M,1,43688,OH
29978454,61481.2,44,13,0,F,1,90191,CA
31353278,0.0,15,0,0,M,1,43630,OH
21814624,67259.4,54,7,2,F,4,45275,OH
19080922,0.0,16,8,1,M,1,67276,KS
